id,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm22327,MOVIE,1987,R,116,"['drama', 'war']","['GB', 'US']",0.0,tt0093058,8.3,723306.0,36.502,8.1
tm54450,MOVIE,1983,R,90,"['horror', 'thriller', 'european']",['US'],0.0,tt0085333,6.7,80945.0,19.311,6.8
tm2386,MOVIE,1984,R,91,['horror'],['US'],0.0,tt0087800,7.4,230543.0,53.853,7.3
ts22082,SHOW,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",['US'],4.0,tt0083437,6.9,33760.0,44.378,7.5
tm145608,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],0.0,tt0099077,7.8,137549.0,13.761,7.8
ts21715,SHOW,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",['GB'],24.0,tt0086815,6.5,4948.0,49.384,6.6
tm41289,MOVIE,1982,PG,127,"['drama', 'family', 'comedy']",['US'],0.0,tt0083564,6.6,44866.0,15.857,6.5
tm132694,MOVIE,1989,R,103,"['horror', 'fantasy', 'thriller']",['US'],0.0,tt0098084,6.5,102212.0,32.854,6.6
ts20678,SHOW,1989,TV-G,23,"['comedy', 'romance', 'family']",['US'],5.0,tt0096694,7.1,34854.0,16.945,8.0
tm117580,MOVIE,1986,R,84,"['comedy', 'romance']",['US'],0.0,tt0091939,6.7,14277.0,6.212,6.7
tm20712,MOVIE,1987,R,93,"['comedy', 'documentation']",['US'],0.0,tt0092948,7.6,19646.0,9.727,7.3
tm130586,MOVIE,1981,R,116,"['drama', 'romance']",['US'],0.0,tt0082329,4.9,8374.0,19.518,5.6
ts25028,SHOW,1983,TV-G,26,['family'],['US'],39.0,tt0072584,6.7,3126.0,1440.855,6.7
ts23753,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],4.0,tt0096643,6.4,2866.0,7.506,6.3
ts2760,SHOW,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",['GB'],13.0,tt0329829,6.1,1759.0,25.697,7.3
ts987,SHOW,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",['GB'],10.0,tt0081848,7.4,3514.0,7.748,7.4
tm125985,MOVIE,1981,Unknown,133,"['scifi', 'drama', 'war', 'animation', 'action']",['JP'],0.0,tt0159510,7.2,1242.0,12.744,7.2
tm40103,MOVIE,1988,Unknown,120,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],0.0,tt0095262,7.3,1649.0,8.356,6.8
tm21953,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],0.0,tt0307403,7.2,651.0,1.791,7.2
tm152839,MOVIE,1990,Unknown,30,"['comedy', 'documentation']",['US'],0.0,tt0259057,6.0,353.0,1.46,6.3
tm62924,MOVIE,1982,R,77,"['comedy', 'documentation']",['GB'],0.0,tt0084352,7.9,15186.0,7.641,7.4
tm114356,MOVIE,1988,Unknown,100,['drama'],['US'],0.0,tt0091106,6.0,901.0,1.631,6.1
tm147829,MOVIE,1990,Unknown,100,['drama'],['US'],0.0,tt0100848,6.0,448.0,2.596,5.3
tm126769,MOVIE,1985,Unknown,87,['comedy'],['AR'],0.0,tt0089108,8.0,6285.0,8.19,8.2
tm49037,MOVIE,1982,Unknown,144,"['animation', 'action', 'drama', 'scifi', 'war']",['JP'],0.0,tt0159511,7.7,1210.0,11.448,7.5
tm159912,MOVIE,1990,Unknown,174,"['action', 'crime', 'drama']",['IN'],0.0,tt0098999,7.6,8902.0,4.372,6.5
